ACCE_ABSORB_CHANCE	Absorption rate: %d%%
REFINE_FAILURE_NO_SOCKET0	There is no free socket for the %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	You cannot add any more sockets to this item.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	This item cannot be upgraded.
REFINE_NEED_ITEMS	[i] Items required
REFINE_SUCCESS	The advancement of the item was successful.
REFINE_SUCCESS_PROBALITY	Chance for advancement %d%%
REFINE_UPGRADE	[i] Upgrade
REFINE_WARNING2	Do you want to continue?
RENEWAL_SKILL_SELECT_ASSASSIN_SKILL_IMG_DESC_LEFT	A strong and fast fighter is able to kill his enemy[ENTER]without him realizing what happened!
RENEWAL_SKILL_SELECT_ASSASSIN_SKILL_IMG_DESC_RIGHT	An old fighter who had the archer Lars Andersen[ENTER]as his teacher and can do with arrows what no one[ENTER]thought possible!
RENEWAL_SKILL_SELECT_CONFIRMATION	Your choice is : %s
RENEWAL_SKILL_SELECT_FINAL_ANSWER	Are you sure you want to choose this?
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_1_FOOTER	Melee combat
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_2_FOOTER	Distance fight
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_1_HEADER	Blade Ninja
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_2_HEADER	Archery Ninja
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_1_FOOTER	Body defensive fight
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_2_FOOTER	Offensive psychic combat
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_1_HEADER	Dragon Shaman
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_2_HEADER	Healing Shaman
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_1_FOOTER	Melee combat
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_2_FOOTER	Magic fight
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_1_HEADER	Magic Weapons Sura
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_2_HEADER	Black Magic Sura
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_1_FOOTER	Melee combat
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_2_FOOTER	Physical combat
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_1_HEADER	Body Warrior
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_2_HEADER	Mental Warrior
RENEWAL_SKILL_SELECT_SHAMAN_SKILL_IMG_DESC_LEFT	It was created and bred to help its allies by giving[ENTER]them power in strikes and protection in battle!
RENEWAL_SKILL_SELECT_SHAMAN_SKILL_IMG_DESC_RIGHT	He is able to give himself and his allies speed and[ENTER]regeneration in battle, being a good killer too!
RENEWAL_SKILL_SELECT_SURA_SKILL_IMG_DESC_LEFT	A legionnaire from Teutoburg remained alive as a[ENTER]mutant and having to survive in the forest of[ENTER]death, he specialized in fighting monsters!
RENEWAL_SKILL_SELECT_SURA_SKILL_IMG_DESC_RIGHT	A traitor to the legion, being a fearsome sorcerer[ENTER]he succeeds with his abilities to put even the most[ENTER]fearsome fighters to flight!
RENEWAL_SKILL_SELECT_WARRIOR_SKILL_IMG_DESC_LEFT	Known for their quickness and high basic attacks,[ENTER]body warriors are also known as fearless[ENTER]berserkers!
RENEWAL_SKILL_SELECT_WARRIOR_SKILL_IMG_DESC_RIGHT	Solid as the Chinese wall, the mental warrior is hard[ENTER]to put down, helped by his mobility!
RESTART_INSTANT_MESSAGE	This option will cost you 500.000 Yang.
RESTART_CLIENT_DO_YOU_ACCEPT_1	You must restart the client for the changes to be applied.
RESTART_CLIENT_DO_YOU_ACCEPT_2	Do you want to restart now?
REVIVE_AUTO_TOWN_MESSAGE	You'll be teleported to the city in: {}
SAFEBOX_ERROR	You entered the wrong password.
SAFEBOX_SELL_DISABLE_SAFEITEM	You cannot sell any of the saved items.
SAFEBOX_WRONG_PASSWORD	The passwords have to be identical.
SCREENSHOT_SAVE1	The screenshot is saved in
SCREENSHOT_SAVE2	screenshot file
SCREENSHOT_SAVE_FAILURE	Saving of screenshot failed.
SECOND	Sec
SECOND_CONFIRM_PET_FEED_QUESTION_1	Your item has %d or more bonuses.
SECOND_CONFIRM_PET_FEED_QUESTION_2	Are you sure you want to feed it to your pet?
SELECT_CAN_NOT_DELETE	You cannot delete the character.
SELECT_CHANGED_NAME	You changed the name of the character.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	The character name is already existing.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Try again.
SELECT_CHANGE_FAILURE_STRANGE_NAME	That is the wrong character name.
SELECT_CHANGE_NAME_TITLE	Change character name.
SELECT_DELEING	Deleting...
SELECT_DELETED	Deletion successful.
SELECT_DO_YOU_DELETE_REALLY	Do you want to continue?
SELECT_EMPTY_SLOT	This is an empty field.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Enter a new character name.
SELECT_NOT_JOIN_GUILD	No guild
SELL_PRICE_INFO	[Sales price]
SELL_PRICE_INFO_PCS	Price: %s
SELL_PRICE_INFO_ALL	All: %s
SERVER_NOTIFY_CLOSED	Closed server: only accounts created before the closure may enter.
SERVER_STATUS_CLOSE	CLOSED
SERVER_STATUS_NEW	NEW
SERVER_STATUS_SPECIAL	SPECIAL
SHIP_MAST	Mast
SHOP_ALREADY_HAVE_ONE_ITEM	You can have only one item of this type with you.
SHOP_BUY_INFO	Choose the item you want to buy in the shop window.
SHOP_CANNOT_SELL_EQUIPMENT	You cannot sell  equipped items.
SHOP_CANNOT_SELL_ITEM	This item cannot be sold.
SHOP_ERROR_UNKNOWN	Unknown shop error: %s
SHOP_INVALID_POS	This item cannot be used here.
SHOP_INVENTORY_FULL	Your inventory is full.
SHOP_NOT_ENOUGH_COINS	Not enough Dragon Coins.
SHOP_NOT_ENOUGH_EXP	Not enough Experience.
SHOP_NOT_ENOUGH_ITEM	Not enough Items.
SHOP_NOT_ENOUGH_MONEY	Not enough Yang.
SHOP_SELL_INFO	Choose the item you want to sell in your inventory window.
SHOP_SOLDOUT	Sold Out
SHOT_ERROR_UNKNOWN	Unknown error during long distance attack: %s
SKILL_BOHO	Reflect
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	You need EXP to learn this skill.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	You need a book to learn this skill.
SKILL_CHEONGEUN	Strong body
SKILL_COLOR_SELECT_FIRST	First choose a color.
SKILL_COLOR_PICK_TOOLTIP	Choose the desired color for %s. (HEX Code : %s)
SKILL_COLOR_DO_YOU_RESET	Do you want to reset the color of your skill?
SKILL_COLOR_DO_YOU_CHANGE	Do you want to change the color of your skill?
SKILL_CRITICAL	Critical hit
SKILL_ENCHANT_POISON	Apply poison
SKILL_EUNHYEONG	Camouflage
SKILL_FAINT	Blackout
SKILL_FIND_TRAP	Find trap
SKILL_FIRE	Permanent fire
SKILL_FISHMIND	Fishing marble is active
SKILL_GAMJI	Capture
SKILL_GEOMGYEONG	Aura of the sword
SKILL_GICHEON	Dragon's aid
SKILL_GIGONG	Chi rotation
SKILL_GONGPO	Fear
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand master
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Maestro Perfecto
SKILL_GROUP_ASSASSIN_1	Hoja
SKILL_GROUP_ASSASSIN_2	Arco
SKILL_GROUP_HORSE	Equitación
SKILL_GROUP_SHAMAN_1	Dragón
SKILL_GROUP_SHAMAN_2	Curación
SKILL_GROUP_SURA_1	Arma
SKILL_GROUP_SURA_2	Magia
SKILL_GROUP_WARRIOR_1	Cuerpo
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Hoja encantada
SKILL_GYEONGGONG	Camino pluma
SKILL_HEUKSIN	Protección oscura
SKILL_HOSIN	Bendición
SKILL_INC_ATKSPD	Velocidad de ataque aumentada
SKILL_INC_MOVSPD	Velocidad de movimiento aumentada
SKILL_JEOJU	Maldición
SKILL_JEONGEOP	Curación
SKILL_JEONGWI	Berserk
SKILL_JEONSINBANGEO	Defensa total
SKILL_JEONSINGONGGYEOK	Ataque total
SKILL_JEUNGRYEOK	Ataque +
SKILL_JEUNGSOK	Velocidad +
SKILL_JUMAGAP	Armadura encantada
SKILL_KWAESOK	Velocidad
SKILL_MUYEONG	Espíritu de la llama
SKILL_NEED_EMPTY_BOTTLE	No tengo una botella vacia.
SKILL_NEED_POISON_BOTTLE	No tengo una botella de veneno
SKILL_ONLY_FOR_GUILD_CONTENTS	Solo se pueden usar las habilidades del gremio en contenidos del gremio.
SKILL_ONLY_FOR_GUILD_WAR	Sólo puedes usar esta habilidad durante una Guerra de Gremios.
SKILL_PABEOP	Hechizo neutralizadorSKILL_ONLY_FOR_GUILD_WAR	Sólo puedes usar esta habilidad durante una Guerra de Gremios.
SKILL_POWERFUL_STRIKE	Ataque deslumbrante
SKILL_SEOMGWANG	Bomba Relámpago
SKILL_SLEEP	Dormir
SKILL_SLOW	Retardo
SKILL_STUN	Apagón
SKILL_SUHO	Guardar
SKILL_SUMMON_DESCRIPTION	Probabilidad de evocación: %d%%
SKILL_TOOLTIP_INT	Inteligencia
SKILL_TOOLTIP_LEVEL	Nivel
SKILL_TOXICDIE	Envenenamiento
SKILL_TOXICPOWER	Valor de ataque venenoso aumentado
SKILL_TUSOK	Golpe fantasma
SNOWFLAKE_STICK_EVENT_MESSAGE_ADD_SNOW_BALL	Has conseguido 1 Bola de nieve.
SNOWFLAKE_STICK_EVENT_MESSAGE_ADD_TREE_BRANCH	Has conseguido 1 Rama de muñeco de nieve.
SNOWFLAKE_STICK_EVENT_MESSAGE_CANNOT_USE_STICK_COOLTIME	Por favor, inténtalo de nuevo dentro de %d minutos.
SNOWFLAKE_STICK_EVENT_MESSAGE_EVENT_END	El Evento de Copos de Nieve se ha terminado.
SNOWFLAKE_STICK_EVENT_MESSAGE_EVENT_START	El Evento de Copos de Nieve ha comenzado.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_COOLTIME	Inténtalo de nuevo más tarde.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_EVENT_DURATION_EXPIRED	Ya no puedes hacer eso porque el evento ya ha terminado.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_MOUNT_MAX	Ya no se puede cambiar.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_MOUNT_NOT_ENOUGH_MATERIAL	Todavía necesitas 15 Varas de copo de nieve más.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_NOT_ENOUGH_INVENTORY	No tienes suficiente espacio en el inventario.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_PET_MAX	Ya no se puede cambiar.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_PET_NOT_ENOUGH_MATERIAL	Todavía necesitas 15 Varas de copo de nieve más.
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_STICK_MAX	No se puede cambiar. Volverá a ser posible dentro de:
SNOWFLAKE_STICK_EVENT_MESSAGE_EXCHANGE_STICK_NOT_ENOUGH_MATERIAL	No tienes suficientes Bolas de nieve ni Ramas de muñeco de nieve.
SNOWFLAKE_STICK_EVENT_MESSAGE_NOT_ENOUGH_LEVEL	Solo pueden participar los personajes a partir del nivel 60.
SNOWFLAKE_STICK_EVENT_MESSAGE_RANK_BUFF_GET	Evento de Copos de Nieve: Obtienes el potenciador %s.
SNOWFLAKE_STICK_EVENT_MESSAGE_SNOWFLAKE_BUFF_GET	Evento de Copos de Nieve: Obtienes la Magia de los copos de nieve
SNOWFLAKE_STICK_EVENT_MESSAGE_SNOW_BALL_MAX	No puedes tener más Bolas de nieve.
SNOWFLAKE_STICK_EVENT_MESSAGE_TREE_BRANCH_MAX	No puedes tener más Ramas de muñeco de nieve.
SNOWFLAKE_STICK_EVENT_MESSAGE_USE_STICK_FAILED_1	Los requisitos (mazmorra, mapa de evento, nivel de monstruo inadecuado, no hay monstruos cercanos)
SNOWFLAKE_STICK_EVENT_MESSAGE_USE_STICK_FAILED_2	para transformarse no se cumplen.
SNOWFLAKE_STICK_EVENT_RANK_BUFF_TYPE_STONE	Piedra Metin
SOLO_RK_CATEGORY_BATTLE_ROYALE	Battle Royale
SOLO_RK_CATEGORY_BATTLE_ROYALE_RECORD_0	Victorias
SOLO_RK_CATEGORY_GUILD_BATTLE	Batalla Gremial
SOLO_RK_CATEGORY_GUILD_BATTLE_MOB_KILL	Asesinatos: Monstruos
SOLO_RK_CATEGORY_GUILD_BATTLE_PC_DEAD	Muertes: Personaje
SOLO_RK_CATEGORY_GUILD_BATTLE_PC_KILL	Asesinatos: Personajes
SOLO_RK_CATEGORY_GUILD_BATTLE_TEAM	Equipo
SOLO_RK_CATEGORY_TREASURE_HUNT	Clasificación de búsqueda de tesoros
SOLO_RK_CATEGORY_TREASURE_HUNT_RECORD_0	Rondas
SOUL_ITEM_TOOLTIP_APPLY	Efecto activado
SOUL_ITEM_TOOLTIP_BLUE1	Tiempo de juego: %d/%d min. 
SOUL_ITEM_TOOLTIP_BLUE2	Al alcanzar el tiempo de juego, el daño de habilidad se multiplica por %.1f.
SOUL_ITEM_TOOLTIP_COMMON	No aplicable a: JcJ, polimorfismo
SOUL_ITEM_TOOLTIP_RED1	Tiempo de juego: %d/%d min. 
SOUL_ITEM_TOOLTIP_RED2	Al alcanzar el tiempo de juego, el daño de ataque se multiplica por %.1f.
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Ataques restantes: %d
SOUL_ITEM_TOOLTIP_REMOVE_TIME	El alma se apagará en
SOUL_ITEM_TOOLTIP_UNAPPLIED	Efecto no activado
SOUL_REFINE_FAILURE	El desarrollo ha fallado.
SOUL_REFINE_SUCCESS	¡El desarrollo ha tenido éxito!
SPORTS_MATCH_EVENT_APPOINT	Confirmar
SPORTS_MATCH_EVENT_APPOINT_POPUP_MESSAGE	Has escogido %s. ¿Este es el país por el que te has decidido?
SPORTS_MATCH_EVENT_CHEER	Animar
SPORTS_MATCH_EVENT_CHEER_POPUP_MESSAGE	Has escogido %s. ¿Quieres animar a este país?
SPORTS_MATCH_EVENT_OFF	El Evento del Campeonato ha terminado.
SPORTS_MATCH_EVENT_ON	El Evento del Campeonato ha comenzado.
SPORTS_MATCH_EVENT_PREDICT_UI_TITLE	Evento de Vítores
SPORTS_MATCH_EVENT_REWARD	Recibir recompensa
SPORTS_MATCH_EVENT_SOURCE_ITEM_FLAG_IMG_MESSAGE	Reúne 8 Trozos de tique para juntarlos y formar un Tique de fútbol.\nEl Tique de fútbol se puede canjear por recompensas y objetos de evento.
SPORTS_MATCH_EVENT_TIME_END	No se podrá utilizar una vez finalizado el evento.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_APPOINT_ITEM_NOT_ENOUGH	Se necesita un Tique de país.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_CHEER_ITEM_NOT_ENOUGH	Se necesita un Tique de vítores.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_CHEER_MAX	Ya no puedes animar más.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_COOLTIME_NOT_END_MSG	Inténtalo de nuevo más tarde.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_INVENTORY_FULL_MSG	No hay suficiente espacio en tu inventario.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_MIN_LEVEL_MSG	Solo pueden participar los personajes a partir del nivel 60.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_RESULT_ITEM_FLAG_MAX	Ya no puedes obtener más objetos de evento.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_TICKET_ITEM_ADD	Obtener objeto: %d Tique/s de fútbol
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_TICKET_ITEM_LACK	Se necesitan otros %d Tiques de fútbol.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_TICKET_PIECE_ITEM_ADD	Obtener objeto: Trozo de tique
SPORTS_MATCH_EXCHANGE_END_TIME	Tiempo restante hasta intercambio: %s
SPORTS_MATCH_ITEM_FLAG_TICKET_DESC	Se puede canjear por recompensas y objetos de evento.
SPORTS_MATCH_ITEM_FLAG_TICKET_NAME	Tique de fútbol
SPORTS_MATCH_ITEM_FLAG_TICKET_PIECE_NAME	Trozo de tique
SPORTS_MATCH_PREDICT_ENABLE_REWARD	Gana recompensas en el Evento de Vítores. Abre la ventana de evento.
SPORTS_MATCH_PREDICT_EVENT_OFF	El Evento de Vítores se ha terminado.
SPORTS_MATCH_PREDICT_GET_REWARD	Recompensa obtenida: Bolsa deportiva de Gaya. La cantidad de Gaya que contiene dependerá del tiempo que hayas animado al equipo.
SPORTS_MATCH_TICKET_COUNT_NOT_ENOUGH	No tienes suficientes Tiques de fútbol.
SPORTS_MATCH_UI_ITEM_EXCHANGE_BUTTON	Cambiar
SPORTS_MATCH_UI_ITEM_FLAG_COUNT	Cantidad en posesión
SPORTS_MATCH_UI_ITEM_FLAG_EXCHANGE_LIST	Lista de intercambio
SPORTS_MATCH_UI_ITEM_USE_BUTTON	Canjear
SPORTS_MATCH_UI_MATCH_PREDICT_BUTTON	ANIMAR
SPORTS_MATCH_WORLDCUP_EVENT_OFF	El Evento del Campeonato ha terminado.
SPORTS_MATCH_WORLDCUP_EVENT_ON	El Evento del Campeonato ha comenzado.
SPORTS_MATCH_WORLDCUP_EVENT_UI_TITLE	Evento del Campeonato
SPECIAL_CHAT_PICK	|Eemoji/key_plus|e %s
SPECIAL_INVENTORY_CHANGERS	Changers
SPECIAL_INVENTORY_CHEST	Chest
SPECIAL_INVENTORY_MALL	Item-Shop
SPECIAL_INVENTORY_MATERIAL	Materials
SPECIAL_INVENTORY_SAFEBOX	Safebox
SPECIAL_INVENTORY_SAFEBOX_OPEN	Please wait, safebox is opening.
SPECIAL_INVENTORY_SKILL_BOOK	Books
SPECIAL_INVENTORY_STONE	Stones
STATS_BOARD_JINNO_PLAYERS	Jinno players
STATS_BOARD_SHINSOO_PLAYERS	Shinsoo players
STATS_BOARD_CHUNJO_PLAYERS	Chunjo players
STATS_BOARD_PLAYERS_KILLED	Players killed
STATS_BOARD_DUELS_WON	Won duels
STATS_BOARD_LOST_DUELS	Lost duels
STATS_BOARD_KILLED_MONSTER	Killed monsters
STATS_BOARD_DEFEATED_BOSSES	Defeated bosses
STATS_BOARD_DESTROYED_STONES	Destroyed stones
STAT_MINUS_CON	Ajuste de vitalidad (probabilidad restante: %d)
STAT_MINUS_DEX	Dexterity adjustment (remaining chance: %d)
STAT_MINUS_INT	Intelligence adjustment (rest of chance: %d)
STAT_MINUS_STR	Strength adjustment (rest of chance: %d)
STAT_TOOLTIP_ADD	Add x1 status point.
STAT_TOOLTIP_ADD_2	Add x10 status points.
STAT_TOOLTIP_BONUS	Character Bonus
STAT_TOOLTIP_IMG_CON	Vitality
STAT_TOOLTIP_IMG_INT	Intelligence
STAT_TOOLTIP_IMG_STR	Strength
STAT_TOOLTIP_IMG_DEX	Dexterity
STAT_TOOLTIP_IMG_HEL	HP
STAT_TOOLTIP_IMG_SP	SP
STAT_TOOLTIP_IMG_ATT	Attack value
STAT_TOOLTIP_IMG_DEF	Defence
STAT_TOOLTIP_MOVE_SPEED	Movement speed
STAT_TOOLTIP_ATT_SPEED	Attack speed
STAT_TOOLTIP_CAST_SPEED	Casting speed
STAT_TOOLTIP_MAG_ATT	Magic attack value
STAT_TOOLTIP_MAG_DEF	Magical defence
STAT_TOOLTIP_MAG_ER	Evasion value
STAT_TOOLTIP_CON	Increases HP and defence
STAT_TOOLTIP_DEX	Increases attack and evasion
STAT_TOOLTIP_INT	Increases SP, magic attack and defence
STAT_TOOLTIP_STATS	Statistics
STAT_TOOLTIP_STATUS	Character Status
STAT_TOOLTIP_STR	Increases attack value and damage
SWITCHBOT_TITLE	Switchbot
SWITCHBOT_START	Start
SWITCHBOT_STOP	Stop
SWITCHBOT_RESET	Reset
SWITCHBOT_ALTERNATIVES	Possible alternatives
SWITCHBOT_EMPTY_ATTR	- Empty -
SWITCHBOT_SELECT_ATTR	Choose bonus
SWITCHBOT_CLEAR_ATTR	Delete
SWITCHBOT_LOAD_CONFIGURATION	Load
SWITCHBOT_CLEAR_CONFIGURATION	Clear
SYMBOLLIST_TITLE	Register guild flag
SYSTEM_WHISPER	[Anka2]
TARGET_BUTTON_ACCEPT_FIGHT	Aceptar
TARGET_BUTTON_AVENGE	Vengar
TARGET_BUTTON_BLOCK	Bloquear
TARGET_BUTTON_BLOCK_REMOVE	Desbloquear
TARGET_BUTTON_BUILDING_DESTROY	Destruir
TARGET_BUTTON_DISMOUNT	Desmontar
TARGET_BUTTON_EMOTION_ALLOW	Emociones
TARGET_BUTTON_EXCHANGE	Comercio
TARGET_BUTTON_EXCLUDE	Excluir
TARGET_BUTTON_EXIT_OBSERVER	Finalizar modo observador
TARGET_BUTTON_FIGHT	Duelo
TARGET_BUTTON_FRIEND	Amigo
TARGET_BUTTON_INVITE_GUILD	Invitación de Gremio
TARGET_BUTTON_INVITE_PARTY	Invitación de Grupo
TARGET_BUTTON_LEAVE_PARTY	Salir del Grupo
TARGET_BUTTON_REQUEST_ENTER_PARTY	Entrar en grupo
TARGET_BUTTON_REVIVE	Revivir
TARGET_BUTTON_UNBLOCK	Unblock
TARGET_BUTTON_VIEW_EQUIPMENT	Equipamiento
TARGET_BUTTON_WHISPER	Conversación
TARGET_LEVEL_BOSS	Jefe
TARGET_LEVEL_KING	Nivel 5.
TARGET_LEVEL_KNIGHT	Nivel 3.
TARGET_LEVEL_PAWN	Nivel 1.
TARGET_LEVEL_S_KNIGHT	Nivel 4.
TARGET_LEVEL_S_PAWN	Nivel 2.
TARGET_TOOLTIP_ATTACK_COUNT	Total de puntos: %d
TASKBAR_ATTACK	Ataque
TASKBAR_AUTO	Atacar automáticamente
TASKBAR_CAMERA	Cámara
TASKBAR_EXP	Experiencia
TASKBAR_HP	HP
TASKBAR_MOVE	Mover
TASKBAR_SKILL	Habilidad
TASKBAR_SP	SP
TASKBAR_ST	ST
TENTH_COIN	Moneda(s) del aniversario
TENTH_EVENT_ASK_EXCHANGE	Necesitas %d Banderas del aniversario. ¿Deseas continuar?
TELEPORT_WINDOW_CLASS_0	Kingdoms
TELEPORT_WINDOW_CLASS_1	Dungeons
TELEPORT_WINDOW_CLASS_2	Beta
TELEPORT_WINDOW_CLASS_3	Others
TELEPORT_WINDOW_CONFIRM_WARP	Are you sure you want to teleport in |cff58aa51%s?
TELEPORT_WINDOW_ITEM_ICON_TOOLTIP	Item required
TELEPORT_WINDOW_ITEM_REQ	Item required: |cff24ff00%s|h|r
TELEPORT_WINDOW_ITEM_REQ_DESC_0	You can obtain the item from
TELEPORT_WINDOW_ITEM_REQ_DESC_1	General Monsters and Bosses
TELEPORT_WINDOW_LEVEL_ICON_TOOLTIP	Level required (Min-Max)
TELEPORT_WINDOW_LEVEL_REQ	Minimum: |cff24ff00%d|h|r / Maximum: |cff24ff00%d|h|r
TELEPORT_WINDOW_MONEY_ICON_TOOLTIP	Teleportation Costs (Yang)
TELEPORT_WINDOW_MONEY_REQ	Yang: |cff24ff00%s|h|r
TELEPORT_WINDOW_NO_ITEM_REQ	You can teleport for free!
TELEPORT_WINDOW_UNSELECTED_MAP_INDEX	Please select a map!
THING_COUNT	todo
TITLE_SYSTEM_NAME_0	No Title
TITLE_SYSTEM_NAME_1	Apprentice
TITLE_SYSTEM_NAME_2	Friend for life
TITLE_SYSTEM_NAME_3	Animal trainer
TITLE_SYSTEM_NAME_4	Almost hero
TITLE_SYSTEM_NAME_5	Destroyer
TITLE_SYSTEM_NAME_6	Hunter
TITLE_SYSTEM_NAME_7	Soul Hunter
TITLE_SYSTEM_NAME_8	Ghost Rider
TITLE_SYSTEM_NAME_9	Death Reaper
TITLE_SYSTEM_NAME_10	Dragon Tamer
TITLE_SYSTEM_NAME_11	Romantic
TITLE_SYSTEM_NAME_12	Titanium
TITLE_SYSTEM_NAME_13	Demons Magician
TITLE_SYSTEM_NAME_14	Fearless
TITLE_SYSTEM_NAME_15	Eternal
TITLE_SYSTEM_NAME_16	Dragon Hunter
TITLE_SYSTEM_NAME_17	Expert
TITLE_SYSTEM_NAME_18	Legendary
TITLE_SYSTEM_NAME_19	PvP God
TITLE_SYSTEM_NAME_20	PvM God
TOOLTIP_ANTIFLAG_DESTROY	Delete
TOOLTIP_ANTIFLAG_DROP	Drop
TOOLTIP_ANTIFLAG_GIVE	Trade
TOOLTIP_ANTIFLAG_MYSHOP	Shop
TOOLTIP_ANTIFLAG_NOT_POSSIBLE	[ impossible ]
TOOLTIP_ANTIFLAG_PKDROP	PvP-Drop
TOOLTIP_ANTIFLAG_SAFEBOX	Safebox
TOOLTIP_ANTIFLAG_SELL	Sell
TOOLTIP_ANTIFLAG_STACK	Stack
TOOLTIP_ANTI_CRITICAL_PCT	Resistance against critical hits +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Resistance against piercing hits +%d%%	SA
TOOLTIP_ANTI_SELL	Cannot be sold in the shop.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Strong against animals +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Strong against ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOSS	Strong against boss +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DARK	Strong against dark +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Strong against devils +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_EARTH	Strong against earth +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ELEC	Strong against lightning +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FIRE	Strong against fire +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Strong against half humans +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ICE	Strong against ice +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_METIN	Strong against metin stones +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Strong against mystics +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Strength against monsters +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Strong against orcs +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Strong against shamans +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Strong against sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Strong against undead +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Strong against warriorr +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WIND	Strong against wind +%d%%	SA
TOOLTIP_APPLY_BLOCK	Chance to block a close-combat attack %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Recover SP all 5 seconds in a battle %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Chance of critical hit +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	Chance %d%% to get back SP when hit	SA
TOOLTIP_APPLY_DODGE	Chance %d%% to avoid arrows	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	Chance %d%% for EXP-Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	Chance %d%% to drop double Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immune against falling down	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Defence against slowing	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Defence against blackouts	SNA
