ACCE_ABSORB_CHANCE	Emiþ oraný: %d%%
TOOLTIP_SEASON_RANKING_BUFF	Sýralama puanýný 10 dak. boyunca %20 artýrýr.	SNA
TOOLTIP_SECOND_ATTRIBUTE_BONUS	2. eklenen Bonus +%%%d	SA
TOOLTIP_SECRET_DUNGEON_SCROLL_INFO	%s : %d, %d
TOOLTIP_SECRET_DUNGEON_SCROLL_PLACE_INFO	Burada bir eþya kullanabilirsin:
TOOLTIP_SELLPRICE	Fiyat: %s
TOOLTIP_SET_ITEM	Set Bonusu	SNA
TOOLTIP_SET_ITEM_1	Kuts. 
TOOLTIP_SET_ITEM_2	Görk. 
TOOLTIP_SET_ITEM_3	Kahr. 
TOOLTIP_SET_ITEM_4	Soylu 
TOOLTIP_SET_ITEM_5	Heyb. 
TOOLTIP_SHAMAN	Þaman
TOOLTIP_SHIELD	Kalkan
TOOLTIP_SHOES	Ayakkabý
TOOLTIP_SKILL	Beceriler	SNA
TOOLTIP_SKILLBOOK_NAME	Beceri Kitabý
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Saldýrý Deðeri: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Saldýrý Deðeri:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Saldýrý Hýzý: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Savunma:
TOOLTIP_SKILL_AFFECT_DODGE	Rakip saldýrý deðeri: -
TOOLTIP_SKILL_AFFECT_HEAL	Yüklenen HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Hareket Hýzý: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Yakýn dövüþ saldýrýlarýný yansýtma þansý:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Beden hasarýna karþý koyma:
TOOLTIP_SKILL_COOL_TIME	Yükleme Süresi: 
TOOLTIP_SKILL_DAMAGE_AMSEOP	Suikast hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_BIPABU	Uçan týlsým hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_BONUS	Beceri Hasarý %%%d	SA
TOOLTIP_SKILL_DAMAGE_BONUS_BOSS_OR_MORE	Patronlara karþý beceri hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_BYEURAK	Þimþek çaðýrma hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_CHAIN	Þimþek pençesi hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_CHARYUN	Býçak çevirme hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_CHAYEOL	Yýrtma hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_GEOMPUNG	Kýlýç darbesi hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_GIGONGCHAM	Ruh vuruþu hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_GIGUNG	Zehirli ok hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_GONGDAB	Kurt atlayýþý hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_GUNGSIN	Þimþek saldýrýsý hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_GYOKSAN	Þiddetli vuruþ hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_HWAJO	Ateþli ok hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_HWAYEOMPOK	Alev vuruþu hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_KWANKYEOK	Ok yaðmuru hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_MAHWAN	Karanlýk taþ hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_MARYUNG	Karanlýk vuruþ hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_NOEJEON	Þimþek atma hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_PABEOB	Büyü çözme hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_PAERYONG	Ejderha kükremesi hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_PALBANG	Kýlýç çevirme hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_PASWAE	Kurt pençesi hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_SALPOONG	Kurt nefesi hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_SAMYEON	Üç yönlü kesme hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_SANGONG	Zehirli bulut hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_SWAERYUNG	Parmak darbesi hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_TANHWAN	Hamle hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_YEONSA	Tekrarlanan atýþ hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_YONGBI	Ejderha darbesi hasarý +%%%d	SA
TOOLTIP_SKILL_DAMAGE_YONGKWON	Ejderha dönüþü hasarý +%%%d	SA
TOOLTIP_SKILL_DEFEND_BONUS	Beceri hasarýna karþý koyma %%%d	SA
TOOLTIP_SKILL_DEFEND_BONUS_BOSS_OR_MORE	Patronlardan beceri hasarý -%%%d	SA
TOOLTIP_SKILL_DURATION	Süre: %d sn.
TOOLTIP_SKILL_DURATION_INCREASE_EUNHYUNG	Kamuflaj süresi +%d sn	SA
TOOLTIP_SKILL_DURATION_INCREASE_GEOMKYUNG	Hava kýlýcý süresi +%d sn	SA
TOOLTIP_SKILL_DURATION_INCREASE_GYEONGGONG	Hafif adým süresi +%d sn	SA
TOOLTIP_SKILL_DURATION_INCREASE_JEOKRANG	Kýrmýzý kurt ruhu süresi +%d sn	SA
TOOLTIP_SKILL_FORGET_BOOK_NAME	Unutkanlýðýn Kitabý
TOOLTIP_SKILL_LEVEL	Güncel Seviye: %d
TOOLTIP_SKILL_LEVEL_MASTER	Güncel Seviye: %d (Master)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Güncel Seviye: %d (Max. %d)
TOOLTIP_SKILL_NEXT_LEVEL	Sonraki seviye: %d
TOOLTIP_SOCKET_EMPTY	Boþ
TOOLTIP_SOCKET_REFINABLE_ITEM	[Slotlu Nesne]
TOOLTIP_SP_REGEN	SP Üretimi +%%%d	SA
TOOLTIP_STATUS_EFFECT_SHOWER_ELEMENT_ENCHANT_DARK	Karanlýk
TOOLTIP_STATUS_EFFECT_SHOWER_ELEMENT_ENCHANT_EARTH	Toprak
TOOLTIP_STATUS_EFFECT_SHOWER_ELEMENT_ENCHANT_ELECT	Þimþek
TOOLTIP_STATUS_EFFECT_SHOWER_ELEMENT_ENCHANT_FIRE	Ateþ
TOOLTIP_STATUS_EFFECT_SHOWER_ELEMENT_ENCHANT_ICE	Buz
TOOLTIP_STATUS_EFFECT_SHOWER_ELEMENT_ENCHANT_WIND	Rüzgar
TOOLTIP_STATUS_EFFECT_SHOWER_GUILD_BATTLE_TEAM_BLUE	Mavi
TOOLTIP_STATUS_EFFECT_SHOWER_GUILD_BATTLE_TEAM_GREEN	Yeþil
TOOLTIP_STATUS_EFFECT_SHOWER_GUILD_BATTLE_TEAM_RED	Kýrmýzý
TOOLTIP_STATUS_EFFECT_SHOWER_GUILD_BATTLE_TEAM_YELLOW	Sarý
TOOLTIP_STR	Güç +%d	SA
TOOLTIP_SUNGMA_ATTR_PRIMIUM	SungMa iradesi güçlendirmesi	SNA
TOOLTIP_SUNGMA_HP	%d SungMa iradesi (VIT)	SA
TOOLTIP_SUNGMA_IMMUNE	%d SungMa iradesi (INT)	SA
TOOLTIP_SUNGMA_MOVE	%d SungMa iradesi (RES)	SA
TOOLTIP_SUNGMA_PER_HP	%%%d SungMa iradesi (VIT)	SA
TOOLTIP_SUNGMA_PER_IMMUNE	%%%d SungMa iradesi (INT)	SA
TOOLTIP_SUNGMA_PER_MOVE	%%%d SungMa iradesi (RES)	SA
TOOLTIP_SUNGMA_PER_STR	%%%d SungMa iradesi (STR)	SA
TOOLTIP_SUNGMA_STR	%d SungMa iradesi (STR)	SA
TOOLTIP_SURA	Sura
TOOLTIP_THIRD_ATTRIBUTE_BONUS	3. eklenen Bonus +%%%d	SA
TOOLTIP_TIME_CHARGER_FIX	Süre Yükleme %d sn.	SA
TOOLTIP_TIME_CHARGER_PER	Süre Yükleme %%%d	SA
TOOLTIP_UNIQUE	Eþsiz
TOOLTIP_UNSEAL_LEFT_TIME	Ruhtan ayrýlma: %dH %dM sonra
TOOLTIP_USE_SKILL_AMSEOP_HP_ABSORB	Suikast kullanýmda %%%d HP emer	SA
TOOLTIP_USE_SKILL_BIPABU_NEXT_COOLTIME_DECREASE_10PER	Uçan týlsým soðuma süresi: -%d sn, %%10 þansla	SA
TOOLTIP_USE_SKILL_BIPABU_NEXT_COOLTIME_DECREASE_20PER	Uçan týlsým soðuma süresi: -%d saniye, %% 20 þansla	SA
TOOLTIP_USE_SKILL_BYEURAK_HP_ABSORB	Þimþek çaðýrma kullanýmýnda maksimum %%%d HP emersin.	SA
TOOLTIP_USE_SKILL_CHAIN_HP_ABSORB	Þimþek pençesi kullanýmýnda %%%d HP emer	SA
TOOLTIP_USE_SKILL_CHARYUN_STUN	Býçak çevirme düþmanlarý %%%d þansla sersemletir	SA
TOOLTIP_USE_SKILL_CHAYEOL_CRITICAL_PCT	Yýrtma kullanýmýnda kritik saldýrý þansýný %d sn artýr	SA
TOOLTIP_USE_SKILL_CHAYEOL_HP_ABSORB	Yýrtma kullanýmýnda %%%d HP emer	SA
TOOLTIP_USE_SKILL_CHEONGRANG_CASTING_SPEED	Çivit kurt ruhu kullanýmýnda sihir hýzýný %d sn artýr	SA
TOOLTIP_USE_SKILL_CHEONGRANG_MOV_SPEED	Çivit kurt ruhu kullanýmýnda hareket hýzýný %d sn artýr	SA
TOOLTIP_USE_SKILL_CHEONUN_NEXT_COOLTIME_DECREASE_PCT	Eter kalkaný kullandýldýðýnda %%%d olasýlýkla\neter kalkanýnýn bir sonraki soðuma süresini 5 saniye düþürür.	SA
TOOLTIP_USE_SKILL_CHUNKEON_CASTING_SPEED	Güçlü beden kullanýmýnda sihir hýzýný %d sn artýr	SA
TOOLTIP_USE_SKILL_COOLTIME_DECREASE_ALL	%%%d olasýlýkla becerilerinin soðuma süresini sýfýrlar.	SA
TOOLTIP_USE_SKILL_FINISH_NEXT_COOLTIME_DECREASE_PCT	Deprem kullandýldýðýnda depremin bir sonraki soðuma süresini %d%% ihtimalle 5 saniye düþürür.	SA
TOOLTIP_USE_SKILL_GEOMAGGWI_NEXT_COOLTIME_DECREASE_PCT	Ateþ darbesi kullandýldýðýnda ateþ darbesinin bir sonraki soðuma süresini %d%% ihtimalle 5 saniye düþürür.	SA
TOOLTIP_USE_SKILL_GEOMPUNG_NEXT_COOLTIME_DECREASE_10PER	Kýlýç darbesi soðuma süresi: -%d sn, %%10 þansla	SA
TOOLTIP_USE_SKILL_GEOMPUNG_NEXT_COOLTIME_DECREASE_20PER	Kýlýç darbesi soðuma süresi: -%d saniye, %%20 þansla	SA
TOOLTIP_USE_SKILL_GICHEON_ATT_GRADE_BONUS	Ejderha yardýmý kullanýmýnda %d sn saldýrý bonusu al	SA
TOOLTIP_USE_SKILL_GIGONGCHAM_STUN	Ruh vuruþu, düþmanlarý %%%d þansla sersemletir	SA
TOOLTIP_USE_SKILL_GIGUNG_ATT_GRADE_BONUS	Zehirli ok kullanýmýnda %d sn saldýrý bonusu al	SA
TOOLTIP_USE_SKILL_GIHYEOL_ATT_GRADE_BONUS	Yaþama isteði kullanýmýnda %d sn saldýrý bonusu al	SA
TOOLTIP_USE_SKILL_GONGDAB_KNOCKBACK	Kurt atlayýþý düþmanlara %%%d þansla misilleme yapar	SA
TOOLTIP_USE_SKILL_GONGDAB_STUN	Kurt atlayýþý, düþmanlarý %%%d þansla sersemletir	SA
TOOLTIP_USE_SKILL_GUNGSIN_NEXT_COOLTIME_DECREASE_10PER	Þimþek saldýrýsý soðuma süresi: -%d sn, %%10 þansla	SA
TOOLTIP_USE_SKILL_GUNGSIN_NEXT_COOLTIME_DECREASE_20PER	Þimþek saldýrýsý soðuma süresi: -%d saniye, %%20 þansla	SA
TOOLTIP_USE_SKILL_GWIGEOM_DEF_BONUS	Büyülü keskinlik kullanýmýnda %d sn savunma bonusu al	SA
TOOLTIP_USE_SKILL_GYOKSAN_KNOCKBACK	Þiddetli vuruþ, düþmanlara %%%d þansla misilleme yapar	SA
TOOLTIP_USE_SKILL_HOSIN_DEF_BONUS	Kutsama kullanýmýnda %d sn savunma bonusu al	SA
TOOLTIP_USE_SKILL_HWAYEOMPOK_KNOCKBACK	Alev vuruþu, düþmanlara %%%d þansla misilleme yapar	SA
TOOLTIP_USE_SKILL_ILGWANGPYO_NEXT_COOLTIME_DECREASE_PCT	Iþýk yýldýzý kullandýldýðýnda ýþýk yýldýzýnýn bir sonraki soðuma süresini %d%% ihtimalle 5 saniye düþürür.	SA
TOOLTIP_USE_SKILL_ILIPUNGU_NEXT_COOLTIME_DECREASE_PCT	Pençe ataðý kullandýldýðýnda pençe ataðýnýn bir sonraki soðuma süresini %d%% ihtimalle 5 saniye düþürür.	SA
TOOLTIP_USE_SKILL_JEOKRANG_DEF_BONUS	Kýrmýzý kurt ruhu kullanýmýnda %d sn savunma bonusu al	SA
TOOLTIP_USE_SKILL_JEONGEOP_ATT_GRADE_BONUS	Þifa kullanýmýnda %d sn saldýrý bonusu al	SA
TOOLTIP_USE_SKILL_JEUNGRYEOK_DEF_BONUS	Saldýrý+ kullanýmýnda %d sn savunma bonusu al	SA
TOOLTIP_USE_SKILL_KWANKYEOK_KNOCKBACK	Ok yaðmuru, düþmanlara %%%d þansla misilleme yapar	SA
TOOLTIP_USE_SKILL_KWANKYEOK_NEXT_COOLTIME_DECREASE_10PER	Ok yaðmuru soðuma süresi: -%d sn, %%10 þansla	SA
TOOLTIP_USE_SKILL_KWANKYEOK_NEXT_COOLTIME_DECREASE_20PER	Ok yaðmuru soðuma süresi: -%d saniye, %%20 þansla	SA
TOOLTIP_USE_SKILL_MABEOBAGGWI_NEXT_COOLTIME_DECREASE_PCT	Ölüm dalgasý kullandýldýðýnda ölüm dalgasýnýn bir sonraki soðuma süresini %d%% ihtimalle 5 saniye düþürür.	SA
TOOLTIP_USE_SKILL_MAHWAN_STUN	Karanlýk taþ, düþmanlarý %%%d þansla sersemletir	SA
TOOLTIP_USE_SKILL_MANASHILED_CASTING_SPEED	Karanlýk koruma kullanýmýnda sihir hýzýný %d sn artýr	SA
TOOLTIP_USE_SKILL_MARYUNG_NEXT_COOLTIME_DECREASE_10PER	Karanlýk vuruþ soðuma süresi: -%d sn, %%10 þansla	SA
TOOLTIP_USE_SKILL_MARYUNG_NEXT_COOLTIME_DECREASE_20PER	Karanlýk vuruþ soðuma süresi: -%d saniye, %%20 þansla	SA
TOOLTIP_USE_SKILL_METEO_NEXT_COOLTIME_DECREASE_PCT	Meteor kullandýldýðýnda meteorun bir sonraki soðuma süresini %d%% ihtimalle 5 saniye düþürür.	SA
TOOLTIP_USE_SKILL_MUYEONG_ATT_GRADE_BONUS	Ateþ hayaleti kullanýmýnda %d sn saldýrý bonusu al	SA
TOOLTIP_USE_SKILL_NOEGEOM_ATT_GRADE_BONUS	Kýlýç çemberi kullanýmýnda %d sn saldýrý bonusu al	SA
TOOLTIP_USE_SKILL_NOEJEON_NEXT_COOLTIME_DECREASE_10PER	Þimþek atma soðuma süresi: -%d sn, %%10 þansla	SA
TOOLTIP_USE_SKILL_NOEJEON_NEXT_COOLTIME_DECREASE_20PER	Þimþek atma soðuma süresi: -%d saniye, %%20 þansla	SA
TOOLTIP_USE_SKILL_PABEOB_STUN	Büyü çözme, düþmanlarý %%%d þansla sersemletir	SA
TOOLTIP_USE_SKILL_PAERYONG_HP_ABSORB	Ejderha kükremesi kullanýmda %%%d HP emer	SA
TOOLTIP_USE_SKILL_PALBANG_HP_ABSORB	Kýlýç çevirme kullanýmda %%%d HP emer	SA
TOOLTIP_USE_SKILL_PASWAE_NEXT_COOLTIME_DECREASE_10PER	Kurt pençesi soðuma süresi: -%d sn, %%10 þansla	SA
TOOLTIP_USE_SKILL_PASWAE_NEXT_COOLTIME_DECREASE_20PER	Kurt pençesi soðuma süresi: -%d saniye, %%20 þansla	SA
TOOLTIP_USE_SKILL_PASWAE_SP_ABSORB	Kurt pençesi kullanýmda %%%d SP emer	SA
TOOLTIP_USE_SKILL_PUNGLOEPO_NEXT_COOLTIME_DECREASE_PCT	Saldýrý ateþi kullandýldýðýnda saldýrý ateþinin bir sonraki soðuma süresini %d%% ihtimalle 5 saniye düþürür.	SA
TOOLTIP_USE_SKILL_SALPOONG_NEXT_COOLTIME_DECREASE_10PER	Kurt nefesi soðuma süresi: -%d sn, %%10 þansla	SA
TOOLTIP_USE_SKILL_SALPOONG_NEXT_COOLTIME_DECREASE_20PER	Kurt nefesi soðuma süresi: -%d saniye, %%20 þansla	SA
TOOLTIP_USE_SKILL_SAMYEON_NEXT_COOLTIME_DECREASE_10PER	Üç yönlü kesme soðuma süresi: -%d sn, %%10 þansla	SA
TOOLTIP_USE_SKILL_SAMYEON_NEXT_COOLTIME_DECREASE_20PER	Üç yönlü kesme soðuma süresi: -%d saniye, %%20 þansla	SA
TOOLTIP_USE_SKILL_SAMYEON_STUN	Üç yönlü kesme, düþmanlarý %%%d þansla sersemletir	SA
TOOLTIP_USE_SKILL_SANGONG_ATT_GRADE_BONUS	Zehirli bulut kullanýmýnda %d sn saldýrý bonusu al	SA
TOOLTIP_USE_SKILL_SEOMJEON_KNOCKBACK	Sinsi zehir, düþmanlara %%%d þansla misilleme yapar	SA
TOOLTIP_USE_SKILL_SWAERYUNG_KNOCKBACK	Parmak darbesi, düþmanlara %%%d þansla misilleme yapar	SA
TOOLTIP_USE_SKILL_TERROR_ATT_GRADE_BONUS	Dehþet kullanýmýnda %d sn saldýrý bonusu al	SA
TOOLTIP_USE_SKILL_TUSOK_HP_ABSORB	Hayalet vuruþu kullanýmda %%%d HP emer	SA
TOOLTIP_USE_SKILL_YEONSA_HP_ABSORB	Tekrarlanan atýþ kullanýmda %%%d HP emer	SA
TOOLTIP_USE_SKILL_YONGBI_HP_ABSORB	Ejderha darbesi kullanýmda %%%d HP emer	SA
TOOLTIP_USE_SKILL_YONGKWON_NEXT_COOLTIME_DECREASE_10PER	Ejderha dönüþü soðuma süresi: -%d sn, %%10 þansla	SA
TOOLTIP_USE_SKILL_YONGKWON_NEXT_COOLTIME_DECREASE_20PER	Ejderha dönüþü soðuma süresi: -%d saniye, %%20 þansla	SA
TOOLTIP_WARRIOR	Savaþçý
TOOLTIP_WEAPON	Silah
TOOLTIP_WOLFMAN	Lycan
TOOLTIP_WRISTLET	Bileklik
TREASURE_HUNT_DUNGEON_CANNOT_GET_GOLD_IN_DUNGEON	Daha fazla Doblon alamazsýn. Ödülleri görmek için birkaç tanesini harca.
TREASURE_HUNT_DUNGEON_ESCORT_START_1	Hazine Goblinine güvenli bir þekilde varýþ noktasýna kadar refakat et.
TREASURE_HUNT_DUNGEON_ESCORT_START_2	Sen veya Hazine Goblini ölürse görev baþarýsýz olur.
TREASURE_HUNT_DUNGEON_FIND_TREASURE_BOX	Hazine Goblinini baþarýyla korudun!
TREASURE_HUNT_DUNGEON_GET_GOLD_IN_DUNGEON_WHEN_MOB_KILL	1 Doblon kazandýn.
TREASURE_HUNT_DUNGEON_GIVEUP_1	Refakat korumasý baþarýsýz.
TREASURE_HUNT_DUNGEON_GIVEUP_2	Birazdan buradan dýþarý ýþýnlanacaksýn
TREASURE_HUNT_DUNGEON_GIVE_REWARD_GOLD	100 Doblon kazandýn.
TREASURE_HUNT_DUNGEON_GIVE_UP_BUTTON	Çýk
TREASURE_HUNT_DUNGEON_GIVE_UP_POPUP	Hazine avýný iptal etmek istiyor musun?
TREASURE_HUNT_DUNGEON_GOBLIN_BUFF_TOOLTIP_TITLE	\nGoblin kutsamasý
TREASURE_HUNT_DUNGEON_GOBLIN_IMMUNE_POISON_BUFF_TOOLTIP	Goblin zehir baðýþýklýðý
TREASURE_HUNT_DUNGEON_GOBLIN_INCREASE_DEF_BUFF_TOOLTIP	Goblin savunmasý
TREASURE_HUNT_DUNGEON_GOBLIN_INCREASE_HP_BUFF_TOOLTIP	Goblin yaþam gücü
TREASURE_HUNT_DUNGEON_GOBLIN_INCREASE_SPEED_BUFF_TOOLTIP	Goblin hýzý
TREASURE_HUNT_DUNGEON_OVER_TIME	Süre doldu ve buradan dýþarý ýþýnlanacaksýn.
TREASURE_HUNT_DUNGEON_REMAINING_TIME	Kalan süre: %s
TREASURE_HUNT_DUNGEON_REPLAY_ESCORT	Bu yanlýþ hazine sandýðý. Hazine Goblinine bir kez daha refakat et!
TREASURE_HUNT_EVENT_ACCUMULATE_COUNT_RANKING_BUTTON	Tur sýralamasý
TREASURE_HUNT_EVENT_ACCUMULATE_COUNT_TOOLTIP	1 turu tamamlamak için 9 ödül toplamalýsýn.
TREASURE_HUNT_EVENT_BUFF_TITLE	Arýndýrma kutsamasý
TREASURE_HUNT_EVENT_CANNOT_ENTER_DUNGEON_LEVEL	Giriþ yapmak için en az seviye 70'e ulaþmýþ olman gerekir.
TREASURE_HUNT_EVENT_CANNOT_ENTER_DUNGEON_MAX_GOLD	%s Doblonun var. Tekrar katýlmak için bunlarý kullan.
TREASURE_HUNT_EVENT_CANNOT_ENTER_DUNGEON_PARTY	Bir grupla birlikteyken giriþ yapamazsýn.
TREASURE_HUNT_EVENT_CANNOT_ENTER_DUNGEON_TIME_OVER	Etkinlik sona erdiði için artýk giriþ yapamazsýn.
TREASURE_HUNT_EVENT_CANNOT_INCREASE_ACCUMULATED_COUNT	Daha fazla tura eriþemezsin.
TREASURE_HUNT_EVENT_CANNOT_RESET_REWARD_LIST	En az birini aldýktan sonra ödülleri sýfýrlayabilirsin.
TREASURE_HUNT_EVENT_CANNOT_REWARD_RESET	Ödülleri sýfýrlayabilmen için tur ödüllerini kabul etmelisin.
TREASURE_HUNT_EVENT_CANNOT_SHOW_ANCIENT_REWARD_TOOLTIP	Antika: Bu ödüllerin kilidi 5 turdan sonra açýlýr.
TREASURE_HUNT_EVENT_CANNOT_SHOW_LEGENDARY_REWARD_TOOLTIP	Efsanevi: Bu ödüllerin kilidi 10 turdan sonra açýlýr.
TREASURE_HUNT_EVENT_CANNOT_SHOW_REAR_REWARD_TOOLTIP	Nadir: Bu ödüllerin kilidi 3 turdan sonra açýlýr.
TREASURE_HUNT_EVENT_CANNOT_USE_DUNGEON_TICKET_PLACE	Bunu burada kullanamazsýn.
TREASURE_HUNT_EVENT_CANNOT_USE_MASTER_KEY_BOX	Bunu þimdi kullanamazsýn.
TREASURE_HUNT_EVENT_CAN_TREASURE_HUNT	Ödüller belirlendi. Bunlarý Hazine Avý menüsünden alabilirsin.
TREASURE_HUNT_EVENT_ENTER_DUNGEON_POPUP	Hazine adasýna girmek istiyor musun?
TREASURE_HUNT_EVENT_GET_ACCUMULATED_REWARD_BUTTON_TOOLTIP	Yeni ödülleri görmek için tur ödüllerini toplamalýsýn.
TREASURE_HUNT_EVENT_GOLD_COUNT	%d
TREASURE_HUNT_EVENT_GOLD_ICON_TOOLTIP_1	Hazine Goblinini koruyarak Hazine adasýnda elde edilebilir.
TREASURE_HUNT_EVENT_GOLD_ICON_TOOLTIP_2	Hazine biletini her çeþit hazine sandýðýndan alabilirsin. Maksimum Doblon miktarý: %d
TREASURE_HUNT_EVENT_INCREASE_ACCUMULATED_COUNT	[Hazine avý] Yeni bir tura ulaþtýn!
TREASURE_HUNT_EVENT_INCREASE_REFINE_PCT_BUFF_TOOLTIP	Bir sonraki arýndýrmanýn baþarý þansýný %10 artýrýr. (Etkinlik baþýna 1 kez kullanýlabilir)
TREASURE_HUNT_EVENT_LAST_ACCUMULATED_COUNT_REWARD_POPUP	%d. turdan itibaren yalnýzca\n%d. turun ödüllerini alabilirsin.
TREASURE_HUNT_EVENT_NOTICE_CAN_GET_ACCUMULATED_REWARD	Tur ödülünü Hazine Avý penceresinde al.
TREASURE_HUNT_EVENT_NOTICE_EXHAUSTED_BUFF	%d. tur için artýk kutsama kalmadý.
TREASURE_HUNT_EVENT_NOTICE_REMAIN_BUFF	%d. hazine avý için %d kutsama mevcut.
TREASURE_HUNT_EVENT_NOT_ENOUGH_DRAGON_SOUL_INVENTORY_SPACE	Ejderha taþý simyasý envanterinde yeterli boþluk yok.
TREASURE_HUNT_EVENT_NOT_ENOUGH_GOLD	Ödülleri görmek için 30 Doblona ihtiyacýn var.
TREASURE_HUNT_EVENT_NOT_ENOUGH_INVENTORY_SPACE	Envanterde yeterli alan yok.
TREASURE_HUNT_EVENT_NOT_ENOUGH_LEVEL	Seviyen bu etkinliðe katýlmak için çok düþük.
TREASURE_HUNT_EVENT_NOT_ENOUGH_MASTER_KEY	Yeterli Goblin anahtarýn yok.
TREASURE_HUNT_EVENT_OFF	Hazine avý sona erdi.
TREASURE_HUNT_EVENT_ON	Hazine avý baþladý.
TREASURE_HUNT_EVENT_OPEN_ANCIENT_LIST_TYPE	5. tura ulaþýldý: Antika ödüllerin kilidi açýldý!
TREASURE_HUNT_EVENT_OPEN_LEGENDARY_LIST_TYPE	10. tura ulaþýldý: Efsanevi ödüllerin kilidi açýldý!
TREASURE_HUNT_EVENT_OPEN_RARE_LIST_TYPE	3. tura ulaþýldý: Nadir ödüllerin kilidi açýldý!
TREASURE_HUNT_EVENT_REFINE_FREE_MATERIAL_BUFF_TOOLTIP	Bir sonraki arýndýrmada hiçbir malzeme tüketilmeyecek. (Etkinlik baþýna 1 kez kullanýlabilir)
TREASURE_HUNT_EVENT_REMAIN_BUFF_MAX_TOOLTIP	Sadece %d karakter kutsama alacak.
TREASURE_HUNT_EVENT_REMAIN_BUFF_REWARD_TOOLTIP	Kalan: %d
TREASURE_HUNT_EVENT_RESET_BUTTON_TOOLTIP	Sýfýrla
TREASURE_HUNT_EVENT_REWARD_BUTTON_TOOLTIP_1	Hazine avý
TREASURE_HUNT_EVENT_REWARD_BUTTON_TOOLTIP_2	Ödülleri görmeden hazine arayamazsýn.
TREASURE_HUNT_EVENT_REWARD_RESET_POPUP_1	Ödülleri sýfýrlamak istiyor musun?
TREASURE_HUNT_EVENT_REWARD_RESET_POPUP_2	Tüm ödüller sýfýrlanacak.
TREASURE_HUNT_EVENT_SET_REWARD_BUTTON_TOOLTIP_1	Ödüllere bak
TREASURE_HUNT_EVENT_SET_REWARD_BUTTON_TOOLTIP_2	%d Doblon karþýlýðýnda ödüllere bak.
TREASURE_HUNT_EVENT_SHOW_ACCUMULATE_REWARD_BUTTON_TOOLTIP	Tur ödüllerine git
TREE_FRUIT	Acý dut
UI_ACCEPT	Kabul
UI_BOLD_FONT	Tahoma:12b
UI_CANCEL	iptal
UI_CLOSE	Kapat
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_SLARGE	Tahoma:13
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_XLARGE	Tahoma:20
UI_DEF_FONT_XXLARGE	Tahoma:34
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Red
UI_ITEM	Nesne
UI_LEFT_TIME	Kalan Zaman: %d Sec.
UI_NEXT	Devam
UI_NEXTPAGE	Devam
UI_NOCONTENTS	Ýçerik yok
UI_NONAME	isimsiz
UI_OK	OK
UI_POS_UNKNOWN	Bilinmeyen Yer
UI_PREVPAGE	Geri
UI_UNKNOWN	Bilinmeyen
UNLIMIT_ENTER_CZ_QUESTION	Zodyak tapýnaðýna %d dakikalýðýna girebilirsin. Bunu kullanmak istiyor musun?
UN_SEAL_SCROLL_CLOSE_UI	Bu eþyayý kullanamazsýn. Pencereyi kapat ve tekrar dene.
